"start_station_name","start_lat","start_lng","total_rides","casual_rides","casual_percentage"
"Keeler Ave & Roosevelt Rd",41.866402,-87.7300171,127,124,97.64
"Navy Pier Public Rack - East",41.89093,-87.6096738,400,363,90.75
"Navy Pier Public Rack - West",41.8909738,-87.6114815,407,367,90.17
"Campbell Ave & 51st St",41.80094,-87.68676,103,92,89.32
"Wabash Ave & 59th St",41.787052970257335,-87.62402973196657,103,88,85.44
"Perry Ave & 69th St",41.76929308995,-87.6281959291,332,282,84.94
"Western Ave & 101st St",41.71011,-87.68198,105,89,84.76
"Fairfield Ave & 44th St",41.813617,-87.6932272,277,233,84.12
"St Louis Ave & Norman Bobbins Pl",41.79439,-87.71132,113,94,83.19
"Kedzie Ave & 52nd St",41.79906,-87.70342,130,108,83.08
"Shedd Aquarium",41.86722595682,-87.6153553902,20305,16710,82.30
"Halsted St & 73rd St",41.76160543804394,-87.64416097666071,113,93,82.30
"Halsted St & 69th St",41.76906172032,-87.6446135779,117,96,82.05
"Field Museum",41.865312,-87.617867,12360,10066,81.44
"Damen Ave & 81st St",41.746534,-87.673055,102,83,81.37
"Big Marsh Park",41.68587705562333,-87.57382392883301,367,297,80.93
"Cicero Ave & Lake St",41.886841,-87.745261,175,141,80.57
"Homan Ave & 26th St",41.84425,-87.70983,143,115,80.42
"Oak St Beach Public Rack - South",41.9018549,-87.6222465,262,210,80.15
"State St & 95th St",41.7218499,-87.6228544,331,263,79.46
"Dan Ryan Woods & 83rd St",41.742805,-87.680177,182,144,79.12
"DuSable Lake Shore Dr & Monroe St",41.880958,-87.616743,40485,31993,79.02
"Laramie Ave & Addison St",41.9456842,-87.7569344,264,207,78.41
"Kostner Ave & 63rd St",41.77875,-87.73246,138,108,78.26
"Lincoln Park Zoo",41.92242,-87.63195,272,212,77.94
"DuSable Lake Shore Dr & Jackson Blvd",41.87831,-87.61695,704,547,77.70
"Rockwell St & 57th St",41.79031,-87.68888,147,114,77.55
"Theater on the Lake Overflow Corral",41.92621,-87.63109,273,211,77.29
"Navy Pier",41.892278,-87.612043,71252,54838,76.96
"DuSable Lake Shore Dr & Balbo Dr",41.87318,-87.61685,531,406,76.46
"Obama Presidential Center",41.786419,-87.586462,536,408,76.12
"Shabbona Park",41.9448,-87.79932,173,130,75.14
"Pulaski Rd & 54th St",41.79499,-87.72361,106,79,74.53
"North Avenue Beach",41.91399,-87.62527,1825,1344,73.64
"Dusable Harbor",41.886976,-87.612813,19769,14463,73.16
"Pershing Rd & Sacramento Ave",41.8223772681012,-87.69975413003766,145,106,73.10
"Washtenaw Ave & Polk St",41.8711028,-87.693683,288,210,72.92
"Pulaski Rd & Congress Pkwy",41.87441021003816,-87.72609159350395,210,153,72.86
"Adler Planetarium",41.866095,-87.607267,14100,10246,72.67
"McCormick Place",41.8513751729,-87.6188346489,6866,4971,72.40
"Austin Blvd & Chicago Ave",41.894887,-87.774704,119,86,72.27
"Hale Ave & 107th St",41.69920616812768,-87.66891896724701,111,80,72.07
"Cumberland Ave & Catherine Ave",41.97732,-87.83674,171,122,71.35
"Prospect Sq & 91st St",41.7282338,-87.6675239,167,119,71.26
"Narragansett Ave & North Ave",41.9095,-87.78491,149,106,71.14
