"rider_type","day_type","hour","total_rides"
"casual","Weekday",0,19829
"casual","Weekday",1,11702
"casual","Weekday",2,7155
"casual","Weekday",3,4271
"casual","Weekday",4,4600
"casual","Weekday",5,9835
"casual","Weekday",6,23008
"casual","Weekday",7,43070
"casual","Weekday",8,58400
"casual","Weekday",9,44485
"casual","Weekday",10,45347
"casual","Weekday",11,58680
"casual","Weekday",12,71086
"casual","Weekday",13,74180
"casual","Weekday",14,78154
"casual","Weekday",15,92141
"casual","Weekday",16,120107
"casual","Weekday",17,144362
"casual","Weekday",18,125017
"casual","Weekday",19,92780
"casual","Weekday",20,68222
"casual","Weekday",21,58219
"casual","Weekday",22,47736
"casual","Weekday",23,33940
"casual","Weekend",0,24771
"casual","Weekend",1,17596
"casual","Weekend",2,11575
"casual","Weekend",3,6374
"casual","Weekend",4,3921
"casual","Weekend",5,3498
"casual","Weekend",6,5912
"casual","Weekend",7,9766
"casual","Weekend",8,17793
"casual","Weekend",9,29812
"casual","Weekend",10,44808
"casual","Weekend",11,56714
"casual","Weekend",12,65757
"casual","Weekend",13,67450
"casual","Weekend",14,69284
"casual","Weekend",15,70957
"casual","Weekend",16,67820
"casual","Weekend",17,58661
"casual","Weekend",18,49654
"casual","Weekend",19,37704
"casual","Weekend",20,27850
"casual","Weekend",21,23979
"casual","Weekend",22,24161
"casual","Weekend",23,18842
"member","Weekday",0,17007
"member","Weekday",1,9071
"member","Weekday",2,5065
"member","Weekday",3,3898
"member","Weekday",4,6661
"member","Weekday",5,33189
"member","Weekday",6,100368
"member","Weekday",7,201402
"member","Weekday",8,253075
"member","Weekday",9,134088
"member","Weekday",10,95912
"member","Weekday",11,112084
"member","Weekday",12,133616
"member","Weekday",13,130814
"member","Weekday",14,132448
"member","Weekday",15,186638
"member","Weekday",16,295458
"member","Weekday",17,352387
"member","Weekday",18,265778
"member","Weekday",19,179934
"member","Weekday",20,125580
"member","Weekday",21,96250
"member","Weekday",22,66835
"member","Weekday",23,39403
"member","Weekend",0,19104
"member","Weekend",1,12916
"member","Weekend",2,8015
"member","Weekend",3,4563
"member","Weekend",4,2888
"member","Weekend",5,4439
"member","Weekend",6,9939
"member","Weekend",7,17129
"member","Weekend",8,30416
"member","Weekend",9,44739
"member","Weekend",10,57964
"member","Weekend",11,66681
"member","Weekend",12,71034
"member","Weekend",13,71164
"member","Weekend",14,70936
"member","Weekend",15,72093
"member","Weekend",16,71560
"member","Weekend",17,66126
"member","Weekend",18,60841
"member","Weekend",19,45846
"member","Weekend",20,32809
"member","Weekend",21,27521
"member","Weekend",22,23927
"member","Weekend",23,17181
