"rider_type","day_of_week","hour","total_rides"
"casual","Monday",0,4141
"member","Monday",0,2781
"casual","Monday",1,2507
"member","Monday",1,1636
"casual","Monday",2,1628
"member","Monday",2,1023
"casual","Monday",3,980
"member","Monday",3,766
"casual","Monday",4,939
"member","Monday",4,1304
"casual","Monday",5,1800
"member","Monday",5,5978
"casual","Monday",6,4039
"member","Monday",6,18035
"casual","Monday",7,7246
"member","Monday",7,35684
"casual","Monday",8,9873
"member","Monday",8,44683
"casual","Monday",9,8298
"member","Monday",9,24115
"casual","Monday",10,9219
"member","Monday",10,17429
"casual","Monday",11,11842
"member","Monday",11,20440
"casual","Monday",12,14378
"member","Monday",12,23960
"casual","Monday",13,15203
"member","Monday",13,23667
"casual","Monday",14,16178
"member","Monday",14,24914
"casual","Monday",15,18279
"member","Monday",15,34496
"casual","Monday",16,22448
"member","Monday",16,54720
"casual","Monday",17,26096
"member","Monday",17,67058
"casual","Monday",18,21414
"member","Monday",18,49451
"casual","Monday",19,15515
"member","Monday",19,32371
"casual","Monday",20,11245
"member","Monday",20,22179
"casual","Monday",21,9240
"member","Monday",21,16767
"casual","Monday",22,7288
"member","Monday",22,10157
"casual","Monday",23,4525
"member","Monday",23,5094
"casual","Tuesday",0,3143
"member","Tuesday",0,2557
"casual","Tuesday",1,1676
"member","Tuesday",1,1305
"casual","Tuesday",2,1095
"member","Tuesday",2,774
"casual","Tuesday",3,599
"member","Tuesday",3,689
"casual","Tuesday",4,746
"member","Tuesday",4,1338
"casual","Tuesday",5,1878
"member","Tuesday",5,7169
"casual","Tuesday",6,4610
"member","Tuesday",6,21984
"casual","Tuesday",7,8765
"member","Tuesday",7,44995
"casual","Tuesday",8,12118
"member","Tuesday",8,57249
"casual","Tuesday",9,8439
"member","Tuesday",9,27272
"casual","Tuesday",10,7680
"member","Tuesday",10,18148
"casual","Tuesday",11,9502
"member","Tuesday",11,20781
"casual","Tuesday",12,11447
"member","Tuesday",12,25122
"casual","Tuesday",13,12119
"member","Tuesday",13,24415
"casual","Tuesday",14,12989
"member","Tuesday",14,24549
"casual","Tuesday",15,15425
"member","Tuesday",15,35976
"casual","Tuesday",16,21091
"member","Tuesday",16,62551
"casual","Tuesday",17,27060
"member","Tuesday",17,77255
"casual","Tuesday",18,23678
"member","Tuesday",18,56625
"casual","Tuesday",19,17044
"member","Tuesday",19,37888
"casual","Tuesday",20,12884
"member","Tuesday",20,26537
"casual","Tuesday",21,11667
"member","Tuesday",21,20577
"casual","Tuesday",22,8067
"member","Tuesday",22,12488
"casual","Tuesday",23,4458
"member","Tuesday",23,6069
"casual","Wednesday",0,3113
"member","Wednesday",0,3050
"casual","Wednesday",1,1723
"member","Wednesday",1,1479
"casual","Wednesday",2,1055
"member","Wednesday",2,801
"casual","Wednesday",3,722
"member","Wednesday",3,667
"casual","Wednesday",4,859
"member","Wednesday",4,1235
"casual","Wednesday",5,2065
"member","Wednesday",5,7526
"casual","Wednesday",6,4828
"member","Wednesday",6,22491
