"rider_type","hour","total_rides"
"casual",0,44600
"member",0,36111
"casual",1,29298
"member",1,21987
"casual",2,18730
"member",2,13080
"casual",3,10645
"member",3,8461
"casual",4,8521
"member",4,9549
"casual",5,13333
"member",5,37628
"casual",6,28920
"member",6,110307
"casual",7,52836
"member",7,218531
"casual",8,76193
"member",8,283491
"casual",9,74297
"member",9,178827
"casual",10,90155
"member",10,153876
"casual",11,115394
"member",11,178765
"casual",12,136843
"member",12,204650
"casual",13,141630
"member",13,201978
"casual",14,147438
"member",14,203384
"casual",15,163098
"member",15,258731
"casual",16,187927
"member",16,367018
"casual",17,203023
"member",17,418513
"casual",18,174671
"member",18,326619
"casual",19,130484
"member",19,225780
"casual",20,96072
"member",20,158389
"casual",21,82198
"member",21,123771
"casual",22,71897
"member",22,90762
"casual",23,52782
"member",23,56584
