"rider_type","month","total_rides"
"casual","January",24740
"member","January",113034
"casual","February",41173
"member","February",160280
"casual","March",87849
"member","March",229159
"casual","April",131509
"member","April",316735
"casual","May",245138
"member","May",408600
"casual","June",308477
"member","June",454099
"casual","July",357761
"member","July",511270
"casual","August",337865
"member","August",452426
"casual","September",265264
"member","September",449286
"casual","October",224037
"member","October",422054
"casual","November",99082
"member","November",257396
"casual","December",28090
"member","December",112453
